dataset_id	method_id	dataset_loader	dataset_group	method_group	metric_id	value
azimuth_ref_JE	baseline_umap	azimuth	JE	baseline	ari	0
azimuth_ref_JE	dummy_random	azimuth	JE	dummy	ari	0
azimuth_ref_JE	dummy_solution	azimuth	JE	dummy	ari	0
azimuth_ref_JE	dummy_zeros	azimuth	JE	dummy	ari	1.9706930239165843e-5
babel_GM12878_JE	baseline_lmds	babel	JE	baseline	ari	0.6333264820245745
babel_GM12878_JE	baseline_mnn	babel	JE	baseline	ari	0.46261464214923853
babel_GM12878_JE	baseline_pca	babel	JE	baseline	ari	0
babel_GM12878_JE	baseline_umap	babel	JE	baseline	ari	0
babel_GM12878_JE	dummy_random	babel	JE	dummy	ari	3.3314561744059804e-5
babel_GM12878_JE	dummy_solution	babel	JE	dummy	ari	0.7340264169759297
babel_GM12878_JE	dummy_zeros	babel	JE	dummy	ari	0
dyngen_atac_1_JE	baseline_lmds	dyngen	JE	baseline	ari	0.3090112811047248
dyngen_atac_1_JE	baseline_mnn	dyngen	JE	baseline	ari	0.37985164561084844
dyngen_atac_1_JE	baseline_pca	dyngen	JE	baseline	ari	0.36995821504920223
dyngen_atac_1_JE	baseline_umap	dyngen	JE	baseline	ari	0.3257813401660322
dyngen_atac_1_JE	dummy_random	dyngen	JE	dummy	ari	3.5575295718289217e-4
dyngen_atac_1_JE	dummy_solution	dyngen	JE	dummy	ari	0.06229498087530557
dyngen_atac_1_JE	dummy_zeros	dyngen	JE	dummy	ari	0
dyngen_atac_2_JE	baseline_lmds	dyngen	JE	baseline	ari	0.3124026752857716
dyngen_atac_2_JE	baseline_mnn	dyngen	JE	baseline	ari	0.39796629980776665
dyngen_atac_2_JE	baseline_pca	dyngen	JE	baseline	ari	0.31850146308559946
dyngen_atac_2_JE	baseline_umap	dyngen	JE	baseline	ari	0.3202687213993588
dyngen_atac_2_JE	dummy_random	dyngen	JE	dummy	ari	0.0014470997796581819
dyngen_atac_2_JE	dummy_solution	dyngen	JE	dummy	ari	0.2380650669974091
dyngen_atac_2_JE	dummy_zeros	dyngen	JE	dummy	ari	0
dyngen_atac_3_JE	baseline_lmds	dyngen	JE	baseline	ari	0.4006303421553908
dyngen_atac_3_JE	baseline_mnn	dyngen	JE	baseline	ari	0.5818507846821848
dyngen_atac_3_JE	baseline_pca	dyngen	JE	baseline	ari	0.3317103657089018
dyngen_atac_3_JE	baseline_umap	dyngen	JE	baseline	ari	0.22891729941045158
dyngen_atac_3_JE	dummy_random	dyngen	JE	dummy	ari	-1.1893913014921461e-4
dyngen_atac_3_JE	dummy_solution	dyngen	JE	dummy	ari	0.03810343966696394
dyngen_atac_3_JE	dummy_zeros	dyngen	JE	dummy	ari	0
dyngen_citeseq_1_JE	baseline_lmds	dyngen	JE	baseline	ari	0.39534507346190173
dyngen_citeseq_1_JE	baseline_mnn	dyngen	JE	baseline	ari	0.4340302618698079
dyngen_citeseq_1_JE	baseline_pca	dyngen	JE	baseline	ari	0.4433777876723272
dyngen_citeseq_1_JE	baseline_umap	dyngen	JE	baseline	ari	0.389264358192332
dyngen_citeseq_1_JE	dummy_random	dyngen	JE	dummy	ari	4.8060169230624054e-4
dyngen_citeseq_1_JE	dummy_solution	dyngen	JE	dummy	ari	0.16383945901507974
dyngen_citeseq_1_JE	dummy_zeros	dyngen	JE	dummy	ari	0
dyngen_citeseq_2_JE	baseline_lmds	dyngen	JE	baseline	ari	0.3206872630603883
dyngen_citeseq_2_JE	baseline_mnn	dyngen	JE	baseline	ari	0.31087332418047536
dyngen_citeseq_2_JE	baseline_pca	dyngen	JE	baseline	ari	0.3762682910525747
dyngen_citeseq_2_JE	baseline_umap	dyngen	JE	baseline	ari	0.2718695100981256
dyngen_citeseq_2_JE	dummy_random	dyngen	JE	dummy	ari	8.086969309541774e-4
dyngen_citeseq_2_JE	dummy_solution	dyngen	JE	dummy	ari	0.25337552454250517
dyngen_citeseq_2_JE	dummy_zeros	dyngen	JE	dummy	ari	0
dyngen_citeseq_3_JE	baseline_lmds	dyngen	JE	baseline	ari	0.3345214228589515
dyngen_citeseq_3_JE	baseline_mnn	dyngen	JE	baseline	ari	0.4443262608303539
dyngen_citeseq_3_JE	baseline_pca	dyngen	JE	baseline	ari	0.30115427882526585
dyngen_citeseq_3_JE	baseline_umap	dyngen	JE	baseline	ari	0.18722972569558205
dyngen_citeseq_3_JE	dummy_random	dyngen	JE	dummy	ari	5.237008981335185e-4
dyngen_citeseq_3_JE	dummy_solution	dyngen	JE	dummy	ari	0.15363678962332955
dyngen_citeseq_3_JE	dummy_zeros	dyngen	JE	dummy	ari	0
openproblems_bmmc_multiome_JE	baseline_lmds	openproblems	JE	baseline	ari	0.27892856316226655
openproblems_bmmc_multiome_JE	baseline_mnn	openproblems	JE	baseline	ari	0.462995515993508
openproblems_bmmc_multiome_JE	baseline_pca	openproblems	JE	baseline	ari	0
openproblems_bmmc_multiome_JE	baseline_umap	openproblems	JE	baseline	ari	0
openproblems_bmmc_multiome_JE	dummy_random	openproblems	JE	dummy	ari	1.9554320345755932e-4
openproblems_bmmc_multiome_JE	dummy_solution	openproblems	JE	dummy	ari	0
openproblems_bmmc_multiome_JE	dummy_zeros	openproblems	JE	dummy	ari	1.5142211885090772e-5
totalvispleenlymph_spleen_lymph_111_JE	baseline_lmds	totalvispleenlymph	JE	baseline	ari	0.2366942370993542
totalvispleenlymph_spleen_lymph_111_JE	baseline_mnn	totalvispleenlymph	JE	baseline	ari	0.3670369473315151
totalvispleenlymph_spleen_lymph_111_JE	baseline_pca	totalvispleenlymph	JE	baseline	ari	0.29584859523630647
totalvispleenlymph_spleen_lymph_111_JE	baseline_umap	totalvispleenlymph	JE	baseline	ari	0.2617904168055996
totalvispleenlymph_spleen_lymph_111_JE	dummy_random	totalvispleenlymph	JE	dummy	ari	-3.6959478138307527e-4
totalvispleenlymph_spleen_lymph_111_JE	dummy_solution	totalvispleenlymph	JE	dummy	ari	0
totalvispleenlymph_spleen_lymph_111_JE	dummy_zeros	totalvispleenlymph	JE	dummy	ari	5.5726017921531814e-5
totalvispleenlymph_spleen_lymph_206_JE	baseline_lmds	totalvispleenlymph	JE	baseline	ari	0.2733768119377977
totalvispleenlymph_spleen_lymph_206_JE	baseline_mnn	totalvispleenlymph	JE	baseline	ari	0.37197706375790884
totalvispleenlymph_spleen_lymph_206_JE	baseline_pca	totalvispleenlymph	JE	baseline	ari	0.24226408108147146
totalvispleenlymph_spleen_lymph_206_JE	baseline_umap	totalvispleenlymph	JE	baseline	ari	0.2238523755806273
totalvispleenlymph_spleen_lymph_206_JE	dummy_random	totalvispleenlymph	JE	dummy	ari	-3.242071985781591e-4
totalvispleenlymph_spleen_lymph_206_JE	dummy_solution	totalvispleenlymph	JE	dummy	ari	0.31311062773378495
totalvispleenlymph_spleen_lymph_206_JE	dummy_zeros	totalvispleenlymph	JE	dummy	ari	-6.0829547013819584e-6
10x_5k_pbmc_protein_v3_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.4692196725207911
10x_5k_pbmc_protein_v3_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.958681493444459
10x_5k_pbmc_protein_v3_JE	baseline_pca	10x	JE	baseline	asw_batch	0.7671073359798286
10x_5k_pbmc_protein_v3_JE	baseline_umap	10x	JE	baseline	asw_batch	0.6163926754948179
10x_5k_pbmc_protein_v3_JE	dummy_random	10x	JE	dummy	asw_batch	0.9957543550092315
10x_5k_pbmc_protein_v3_JE	dummy_solution	10x	JE	dummy	asw_batch	0.88251749548846
10x_5k_pbmc_protein_v3_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_5k_pbmc_protein_v3_nextgem_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.46625892383723017
10x_5k_pbmc_protein_v3_nextgem_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.9612343585897327
10x_5k_pbmc_protein_v3_nextgem_JE	baseline_pca	10x	JE	baseline	asw_batch	0.8253971664378158
10x_5k_pbmc_protein_v3_nextgem_JE	baseline_umap	10x	JE	baseline	asw_batch	0.6818406730405202
10x_5k_pbmc_protein_v3_nextgem_JE	dummy_random	10x	JE	dummy	asw_batch	0.995179051005269
10x_5k_pbmc_protein_v3_nextgem_JE	dummy_solution	10x	JE	dummy	asw_batch	0.9266562678354734
10x_5k_pbmc_protein_v3_nextgem_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_e18_mouse_brain_fresh_5k_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.4643979240344862
10x_e18_mouse_brain_fresh_5k_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.9530322102679482
10x_e18_mouse_brain_fresh_5k_JE	baseline_pca	10x	JE	baseline	asw_batch	0
10x_e18_mouse_brain_fresh_5k_JE	baseline_umap	10x	JE	baseline	asw_batch	0
10x_e18_mouse_brain_fresh_5k_JE	dummy_random	10x	JE	dummy	asw_batch	0.9940824510825065
10x_e18_mouse_brain_fresh_5k_JE	dummy_solution	10x	JE	dummy	asw_batch	0.9542313793479599
10x_e18_mouse_brain_fresh_5k_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_human_brain_3k_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.4647065736319695
10x_human_brain_3k_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.956383338812748
10x_human_brain_3k_JE	baseline_pca	10x	JE	baseline	asw_batch	0
10x_human_brain_3k_JE	baseline_umap	10x	JE	baseline	asw_batch	0
10x_human_brain_3k_JE	dummy_random	10x	JE	dummy	asw_batch	0.9944109963432588
10x_human_brain_3k_JE	dummy_solution	10x	JE	dummy	asw_batch	0.8292253315753888
10x_human_brain_3k_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_lymph_node_lymphoma_14k_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.507332210740281
10x_lymph_node_lymphoma_14k_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.9696614369575381
10x_lymph_node_lymphoma_14k_JE	baseline_pca	10x	JE	baseline	asw_batch	0
10x_lymph_node_lymphoma_14k_JE	baseline_umap	10x	JE	baseline	asw_batch	0
10x_lymph_node_lymphoma_14k_JE	dummy_random	10x	JE	dummy	asw_batch	0.9972915324500617
10x_lymph_node_lymphoma_14k_JE	dummy_solution	10x	JE	dummy	asw_batch	0
10x_lymph_node_lymphoma_14k_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_malt_10k_protein_v3_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.5187770011631785
10x_malt_10k_protein_v3_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.9547916114031945
10x_malt_10k_protein_v3_JE	baseline_pca	10x	JE	baseline	asw_batch	0.7655726579455072
10x_malt_10k_protein_v3_JE	baseline_umap	10x	JE	baseline	asw_batch	0.7332779144225854
10x_malt_10k_protein_v3_JE	dummy_random	10x	JE	dummy	asw_batch	0.9964614627469375
10x_malt_10k_protein_v3_JE	dummy_solution	10x	JE	dummy	asw_batch	0
10x_malt_10k_protein_v3_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_pbmc_10k_protein_v3_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.38679914209481947
10x_pbmc_10k_protein_v3_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.9661695761360171
10x_pbmc_10k_protein_v3_JE	baseline_pca	10x	JE	baseline	asw_batch	0.7758577999569004
10x_pbmc_10k_protein_v3_JE	baseline_umap	10x	JE	baseline	asw_batch	0.6870895650316601
10x_pbmc_10k_protein_v3_JE	dummy_random	10x	JE	dummy	asw_batch	0.9963761143267477
10x_pbmc_10k_protein_v3_JE	dummy_solution	10x	JE	dummy	asw_batch	0
10x_pbmc_10k_protein_v3_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_pbmc_granulocyte_sorted_10k_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.36221682490097595
10x_pbmc_granulocyte_sorted_10k_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.9708701051586834
10x_pbmc_granulocyte_sorted_10k_JE	baseline_pca	10x	JE	baseline	asw_batch	0
10x_pbmc_granulocyte_sorted_10k_JE	baseline_umap	10x	JE	baseline	asw_batch	0
10x_pbmc_granulocyte_sorted_10k_JE	dummy_random	10x	JE	dummy	asw_batch	0.9965804257327151
10x_pbmc_granulocyte_sorted_10k_JE	dummy_solution	10x	JE	dummy	asw_batch	0
10x_pbmc_granulocyte_sorted_10k_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_pbmc_granulocyte_sorted_3k_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.36185533917440155
10x_pbmc_granulocyte_sorted_3k_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.9414478536776648
10x_pbmc_granulocyte_sorted_3k_JE	baseline_pca	10x	JE	baseline	asw_batch	0
10x_pbmc_granulocyte_sorted_3k_JE	baseline_umap	10x	JE	baseline	asw_batch	0
10x_pbmc_granulocyte_sorted_3k_JE	dummy_random	10x	JE	dummy	asw_batch	0.9932993697437548
10x_pbmc_granulocyte_sorted_3k_JE	dummy_solution	10x	JE	dummy	asw_batch	0.9625534938172239
10x_pbmc_granulocyte_sorted_3k_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_pbmc_unsorted_10k_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.4412050458010111
10x_pbmc_unsorted_10k_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.9639841001091783
10x_pbmc_unsorted_10k_JE	baseline_pca	10x	JE	baseline	asw_batch	0
10x_pbmc_unsorted_10k_JE	baseline_umap	10x	JE	baseline	asw_batch	0
10x_pbmc_unsorted_10k_JE	dummy_random	10x	JE	dummy	asw_batch	0.9971904941585397
10x_pbmc_unsorted_10k_JE	dummy_solution	10x	JE	dummy	asw_batch	0
10x_pbmc_unsorted_10k_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_pbmc_unsorted_3k_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.399495892114664
10x_pbmc_unsorted_3k_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.955727729204603
10x_pbmc_unsorted_3k_JE	baseline_pca	10x	JE	baseline	asw_batch	0
10x_pbmc_unsorted_3k_JE	baseline_umap	10x	JE	baseline	asw_batch	0
10x_pbmc_unsorted_3k_JE	dummy_random	10x	JE	dummy	asw_batch	0.9940607987345591
10x_pbmc_unsorted_3k_JE	dummy_solution	10x	JE	dummy	asw_batch	0.8949259094639772
