dataset_id	method_id	dataset_loader	dataset_group	method_group	metric_id	value
azimuth_ref_JE	dummy_solution	azimuth	JE	dummy	ari	0
azimuth_ref_JE	dummy_zeros	azimuth	JE	dummy	ari	0
babel_GM12878_JE	baseline_lmds	babel	JE	baseline	ari	0.6223461852286141
babel_GM12878_JE	baseline_mnn	babel	JE	baseline	ari	0
babel_GM12878_JE	baseline_pca	babel	JE	baseline	ari	0
babel_GM12878_JE	baseline_umap	babel	JE	baseline	ari	0
babel_GM12878_JE	dummy_random	babel	JE	dummy	ari	-5.38430453049907e-4
babel_GM12878_JE	dummy_solution	babel	JE	dummy	ari	0
babel_GM12878_JE	dummy_zeros	babel	JE	dummy	ari	0
dyngen_atac_1_JE	baseline_lmds	dyngen	JE	baseline	ari	0.3657946425396877
dyngen_atac_1_JE	baseline_mnn	dyngen	JE	baseline	ari	0.5816556562693468
dyngen_atac_1_JE	baseline_pca	dyngen	JE	baseline	ari	0.453557038490987
dyngen_atac_1_JE	baseline_umap	dyngen	JE	baseline	ari	0.45993062914115584
dyngen_atac_1_JE	dummy_random	dyngen	JE	dummy	ari	-1.364639138710652e-4
dyngen_atac_1_JE	dummy_solution	dyngen	JE	dummy	ari	0.1301358517362388
dyngen_atac_1_JE	dummy_zeros	dyngen	JE	dummy	ari	0
dyngen_atac_2_JE	baseline_lmds	dyngen	JE	baseline	ari	0.22240507286128955
dyngen_atac_2_JE	baseline_mnn	dyngen	JE	baseline	ari	0.27176143756457044
dyngen_atac_2_JE	baseline_pca	dyngen	JE	baseline	ari	0.37762435938472216
dyngen_atac_2_JE	baseline_umap	dyngen	JE	baseline	ari	0.38380001089863103
dyngen_atac_2_JE	dummy_random	dyngen	JE	dummy	ari	-7.619024301837014e-5
dyngen_atac_2_JE	dummy_solution	dyngen	JE	dummy	ari	0.14467749905379337
dyngen_atac_2_JE	dummy_zeros	dyngen	JE	dummy	ari	0
dyngen_atac_3_JE	baseline_lmds	dyngen	JE	baseline	ari	0.4259482235098825
dyngen_atac_3_JE	baseline_mnn	dyngen	JE	baseline	ari	0.5943198787370735
dyngen_atac_3_JE	baseline_pca	dyngen	JE	baseline	ari	0.33954551806767097
dyngen_atac_3_JE	baseline_umap	dyngen	JE	baseline	ari	0.32143202335780124
dyngen_atac_3_JE	dummy_random	dyngen	JE	dummy	ari	-7.53973585053284e-4
dyngen_atac_3_JE	dummy_solution	dyngen	JE	dummy	ari	0.07105431113562724
dyngen_atac_3_JE	dummy_zeros	dyngen	JE	dummy	ari	0
dyngen_citeseq_1_JE	baseline_lmds	dyngen	JE	baseline	ari	0.22631929545197482
dyngen_citeseq_1_JE	baseline_mnn	dyngen	JE	baseline	ari	0.4340302618698079
dyngen_citeseq_1_JE	baseline_pca	dyngen	JE	baseline	ari	0.4433777876723272
dyngen_citeseq_1_JE	baseline_umap	dyngen	JE	baseline	ari	0.3871489320371538
dyngen_citeseq_1_JE	dummy_random	dyngen	JE	dummy	ari	4.8318666421496475e-4
dyngen_citeseq_1_JE	dummy_solution	dyngen	JE	dummy	ari	0.1984205182935658
dyngen_citeseq_1_JE	dummy_zeros	dyngen	JE	dummy	ari	0
dyngen_citeseq_2_JE	baseline_lmds	dyngen	JE	baseline	ari	0.34271904163351685
dyngen_citeseq_2_JE	baseline_mnn	dyngen	JE	baseline	ari	0.3120161866002492
dyngen_citeseq_2_JE	baseline_pca	dyngen	JE	baseline	ari	0.3762682910525747
dyngen_citeseq_2_JE	baseline_umap	dyngen	JE	baseline	ari	0.31628911873071314
dyngen_citeseq_2_JE	dummy_random	dyngen	JE	dummy	ari	1.5653594612466328e-4
dyngen_citeseq_2_JE	dummy_solution	dyngen	JE	dummy	ari	0.15867974876939142
dyngen_citeseq_2_JE	dummy_zeros	dyngen	JE	dummy	ari	0
dyngen_citeseq_3_JE	baseline_lmds	dyngen	JE	baseline	ari	0.3419147801843965
dyngen_citeseq_3_JE	baseline_mnn	dyngen	JE	baseline	ari	0.4443262608303539
dyngen_citeseq_3_JE	baseline_pca	dyngen	JE	baseline	ari	0.30115427882526585
dyngen_citeseq_3_JE	baseline_umap	dyngen	JE	baseline	ari	0.26388855282459484
dyngen_citeseq_3_JE	dummy_random	dyngen	JE	dummy	ari	0.00066834024843459355
dyngen_citeseq_3_JE	dummy_solution	dyngen	JE	dummy	ari	0.15677748312038098
dyngen_citeseq_3_JE	dummy_zeros	dyngen	JE	dummy	ari	0
openproblems_bmmc_multiome_JE	baseline_lmds	openproblems	JE	baseline	ari	0.3413475827301744
openproblems_bmmc_multiome_JE	baseline_mnn	openproblems	JE	baseline	ari	0
openproblems_bmmc_multiome_JE	baseline_pca	openproblems	JE	baseline	ari	0
openproblems_bmmc_multiome_JE	baseline_umap	openproblems	JE	baseline	ari	0
openproblems_bmmc_multiome_JE	dummy_random	openproblems	JE	dummy	ari	-1.759608218991136e-4
openproblems_bmmc_multiome_JE	dummy_solution	openproblems	JE	dummy	ari	0
openproblems_bmmc_multiome_JE	dummy_zeros	openproblems	JE	dummy	ari	1.5142211885090772e-5
totalvispleenlymph_spleen_lymph_111_JE	baseline_lmds	totalvispleenlymph	JE	baseline	ari	0.27005498858868765
totalvispleenlymph_spleen_lymph_111_JE	baseline_mnn	totalvispleenlymph	JE	baseline	ari	0.3671650062272424
totalvispleenlymph_spleen_lymph_111_JE	baseline_pca	totalvispleenlymph	JE	baseline	ari	0.27000295672137153
totalvispleenlymph_spleen_lymph_111_JE	baseline_umap	totalvispleenlymph	JE	baseline	ari	0
totalvispleenlymph_spleen_lymph_111_JE	dummy_random	totalvispleenlymph	JE	dummy	ari	5.514595252629713e-5
totalvispleenlymph_spleen_lymph_111_JE	dummy_solution	totalvispleenlymph	JE	dummy	ari	0
totalvispleenlymph_spleen_lymph_111_JE	dummy_zeros	totalvispleenlymph	JE	dummy	ari	5.5726017921531814e-5
totalvispleenlymph_spleen_lymph_206_JE	baseline_lmds	totalvispleenlymph	JE	baseline	ari	0.26963969315705627
totalvispleenlymph_spleen_lymph_206_JE	baseline_mnn	totalvispleenlymph	JE	baseline	ari	0.28780719050517567
totalvispleenlymph_spleen_lymph_206_JE	baseline_pca	totalvispleenlymph	JE	baseline	ari	0
totalvispleenlymph_spleen_lymph_206_JE	baseline_umap	totalvispleenlymph	JE	baseline	ari	0
totalvispleenlymph_spleen_lymph_206_JE	dummy_random	totalvispleenlymph	JE	dummy	ari	-5.503530315531593e-5
totalvispleenlymph_spleen_lymph_206_JE	dummy_solution	totalvispleenlymph	JE	dummy	ari	0
totalvispleenlymph_spleen_lymph_206_JE	dummy_zeros	totalvispleenlymph	JE	dummy	ari	-6.0829547013819584e-6
10x_5k_pbmc_protein_v3_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.47011939656149315
10x_5k_pbmc_protein_v3_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.9586861416913671
10x_5k_pbmc_protein_v3_JE	baseline_pca	10x	JE	baseline	asw_batch	0.7671073367142569
10x_5k_pbmc_protein_v3_JE	baseline_umap	10x	JE	baseline	asw_batch	0.6134285504226119
10x_5k_pbmc_protein_v3_JE	dummy_random	10x	JE	dummy	asw_batch	0.9961605106213395
10x_5k_pbmc_protein_v3_JE	dummy_solution	10x	JE	dummy	asw_batch	0
10x_5k_pbmc_protein_v3_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_5k_pbmc_protein_v3_nextgem_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.4660381342202202
10x_5k_pbmc_protein_v3_nextgem_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.9612332356788094
10x_5k_pbmc_protein_v3_nextgem_JE	baseline_pca	10x	JE	baseline	asw_batch	0.825397168225719
10x_5k_pbmc_protein_v3_nextgem_JE	baseline_umap	10x	JE	baseline	asw_batch	0.68506651314757006
10x_5k_pbmc_protein_v3_nextgem_JE	dummy_random	10x	JE	dummy	asw_batch	0.9954030562933482
10x_5k_pbmc_protein_v3_nextgem_JE	dummy_solution	10x	JE	dummy	asw_batch	0
10x_5k_pbmc_protein_v3_nextgem_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_e18_mouse_brain_fresh_5k_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.4608929914661161
10x_e18_mouse_brain_fresh_5k_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.9530321914189501
10x_e18_mouse_brain_fresh_5k_JE	baseline_pca	10x	JE	baseline	asw_batch	0
10x_e18_mouse_brain_fresh_5k_JE	baseline_umap	10x	JE	baseline	asw_batch	0
10x_e18_mouse_brain_fresh_5k_JE	dummy_random	10x	JE	dummy	asw_batch	0.9942372316202346
10x_e18_mouse_brain_fresh_5k_JE	dummy_solution	10x	JE	dummy	asw_batch	0
10x_e18_mouse_brain_fresh_5k_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_human_brain_3k_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.47452625494915196
10x_human_brain_3k_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.9563950715116926
10x_human_brain_3k_JE	baseline_pca	10x	JE	baseline	asw_batch	0
10x_human_brain_3k_JE	baseline_umap	10x	JE	baseline	asw_batch	0
10x_human_brain_3k_JE	dummy_random	10x	JE	dummy	asw_batch	0.9948618085456169
10x_human_brain_3k_JE	dummy_solution	10x	JE	dummy	asw_batch	0.9464913674683886
10x_human_brain_3k_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_lymph_node_lymphoma_14k_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.506174840945667
10x_lymph_node_lymphoma_14k_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.9696487959491665
10x_lymph_node_lymphoma_14k_JE	baseline_pca	10x	JE	baseline	asw_batch	0
10x_lymph_node_lymphoma_14k_JE	baseline_umap	10x	JE	baseline	asw_batch	0
10x_lymph_node_lymphoma_14k_JE	dummy_random	10x	JE	dummy	asw_batch	0.9970707206235042
10x_lymph_node_lymphoma_14k_JE	dummy_solution	10x	JE	dummy	asw_batch	0
10x_lymph_node_lymphoma_14k_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_malt_10k_protein_v3_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.5309790038916431
10x_malt_10k_protein_v3_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.9547862877313202
10x_malt_10k_protein_v3_JE	baseline_pca	10x	JE	baseline	asw_batch	0.7655726579455072
10x_malt_10k_protein_v3_JE	baseline_umap	10x	JE	baseline	asw_batch	0.7375250134989302
10x_malt_10k_protein_v3_JE	dummy_random	10x	JE	dummy	asw_batch	0.9966824544544219
10x_malt_10k_protein_v3_JE	dummy_solution	10x	JE	dummy	asw_batch	0
10x_malt_10k_protein_v3_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_pbmc_10k_protein_v3_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.3904593016745785
10x_pbmc_10k_protein_v3_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.9661637464415755
10x_pbmc_10k_protein_v3_JE	baseline_pca	10x	JE	baseline	asw_batch	0.7758577999475987
10x_pbmc_10k_protein_v3_JE	baseline_umap	10x	JE	baseline	asw_batch	0.6854513265120247
10x_pbmc_10k_protein_v3_JE	dummy_random	10x	JE	dummy	asw_batch	0.9966285544004252
10x_pbmc_10k_protein_v3_JE	dummy_solution	10x	JE	dummy	asw_batch	0
10x_pbmc_10k_protein_v3_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_pbmc_1k_protein_v3_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.5588605512026933
10x_pbmc_1k_protein_v3_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.93498996963106
10x_pbmc_1k_protein_v3_JE	baseline_pca	10x	JE	baseline	asw_batch	0.8094118379353331
10x_pbmc_1k_protein_v3_JE	baseline_umap	10x	JE	baseline	asw_batch	0.8327918484824934
10x_pbmc_1k_protein_v3_JE	dummy_random	10x	JE	dummy	asw_batch	0.9887825827217055
10x_pbmc_1k_protein_v3_JE	dummy_solution	10x	JE	dummy	asw_batch	0.8516813526426547
10x_pbmc_1k_protein_v3_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_pbmc_granulocyte_sorted_10k_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.3643881570142481
10x_pbmc_granulocyte_sorted_10k_JE	baseline_mnn	10x	JE	baseline	asw_batch	0
10x_pbmc_granulocyte_sorted_10k_JE	baseline_pca	10x	JE	baseline	asw_batch	0
10x_pbmc_granulocyte_sorted_10k_JE	baseline_umap	10x	JE	baseline	asw_batch	0
10x_pbmc_granulocyte_sorted_10k_JE	dummy_random	10x	JE	dummy	asw_batch	0.9970641689631025
10x_pbmc_granulocyte_sorted_10k_JE	dummy_solution	10x	JE	dummy	asw_batch	0
10x_pbmc_granulocyte_sorted_10k_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_pbmc_granulocyte_sorted_3k_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.3629555314657085
10x_pbmc_granulocyte_sorted_3k_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.9414826270505563
10x_pbmc_granulocyte_sorted_3k_JE	baseline_pca	10x	JE	baseline	asw_batch	0
10x_pbmc_granulocyte_sorted_3k_JE	baseline_umap	10x	JE	baseline	asw_batch	0
10x_pbmc_granulocyte_sorted_3k_JE	dummy_random	10x	JE	dummy	asw_batch	0.9927573508458478
10x_pbmc_granulocyte_sorted_3k_JE	dummy_solution	10x	JE	dummy	asw_batch	0.8350696336319091
10x_pbmc_granulocyte_sorted_3k_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_pbmc_unsorted_10k_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.44198295848999547
10x_pbmc_unsorted_10k_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.9639862497464349
10x_pbmc_unsorted_10k_JE	baseline_pca	10x	JE	baseline	asw_batch	0
10x_pbmc_unsorted_10k_JE	baseline_umap	10x	JE	baseline	asw_batch	0
10x_pbmc_unsorted_10k_JE	dummy_random	10x	JE	dummy	asw_batch	0.9969832175410962
10x_pbmc_unsorted_10k_JE	dummy_solution	10x	JE	dummy	asw_batch	0
10x_pbmc_unsorted_10k_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
10x_pbmc_unsorted_3k_JE	baseline_lmds	10x	JE	baseline	asw_batch	0.40014006288468734
10x_pbmc_unsorted_3k_JE	baseline_mnn	10x	JE	baseline	asw_batch	0.9557360456013192
10x_pbmc_unsorted_3k_JE	baseline_pca	10x	JE	baseline	asw_batch	0
10x_pbmc_unsorted_3k_JE	baseline_umap	10x	JE	baseline	asw_batch	0
10x_pbmc_unsorted_3k_JE	dummy_random	10x	JE	dummy	asw_batch	0.9929239276548569
10x_pbmc_unsorted_3k_JE	dummy_solution	10x	JE	dummy	asw_batch	0.8709107648894162
